Country,Population,Area_km2,Lden_45_49,Lden_50_54,Lden_55_59,Lden_60_64,Lden_65_69,Lden_70_74,Lden_over_75,Lnight_40_44,Lnight_45_49,Lnight_50_54,Lnight_55_59,Lnight_60_64,Lnight_65_69,Lnight_over_70,Total_Lden,Total_Lnight,Lden_45_49_pct,Lden_50_54_pct,Lden_55_59_pct,Lden_60_64_pct,Lden_65_69_pct,Lden_70_74_pct,Lden_over_75_pct,Lnight_40_44_pct,Lnight_45_49_pct,Lnight_50_54_pct,Lnight_55_59_pct,Lnight_60_64_pct,Lnight_65_69_pct,Lnight_over_70_pct,Total_Lden_pct,Total_Lnight_pct
Norway,2112007.0,464.6704477316.7731971690.99318431823.9972711393.976429528.538168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,10008647.0,102.1124.48175.9669.4433.32159.72188.4779.82265.93135.16133.8885.7164.52109.7326.86293.25147.588.3149.0388.05261.92111.877.73148.26129.0191.17300.6172.38115.781.8184.68517.285.09292.7980.4278.28,14200,7200,9100,1900,300,100,0,8800,1000,5900,1500,200,100,0,32800,17500,0.14,0.07,0.09,0.02,0.0,0.0,0.0,0.09,0.01,0.06,0.01,0.0,0.0,0.0,0.33,0.17
Portugal,1447427.0,23.7884.3462.4226.5445.8741.42,4900,2500,1200,400,100,0,0,4600,2000,1000,400,100,0,0,9100,8100,0.34,0.17,0.08,0.03,0.01,0.0,0.0,0.32,0.14,0.07,0.03,0.01,0.0,0.0,0.63,0.56
Romania,5908689.0,2394323441451872408217512584602449111577415885149122494912968,0,0,2700,1300,100,0,0,0,0,2200,1000,100,0,0,4100,3300,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.07,0.06
Slovakia,698462.0,444.42113.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,380900.0,275147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,19363946.0,37.5430.3130.1244.983487.9645.1619.220.4637.3772.487.19101.7731.9215.7710711.5420.54104.46110.7159.821.238.6977.9678.5945.4587.4110.3642453.0812.6103.2542.9839.03212.1278.97604.91148.9922.4245886.01116.7961.8866.052552.920.8227.69102.4515.31150.6735.3468.666.1210232.13134.47195.3946.9790.05108.1817.1538.61,24500,16000,11400,5400,1800,0,400,15000,4400,8100,4000,800,400,0,59500,32700,0.13,0.08,0.06,0.03,0.01,0.0,0.0,0.08,0.02,0.04,0.02,0.0,0.0,0.0,0.31,0.17
Sweden,3930165.0,909.881099.791613.02447.881013.97343.89131.031480.211427.81427.07156.695.121495.521380.1187.722316.682182.41958.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,4561329.0,91.48695.22780.97169.33221.96538.08774.36291.84306.82317.87148.49227.981309.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,Information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
