Country,EU27,Agglomeration Name,Nr Inhabitants,Area (km2),Nr of people exposed to different noise bands (Lden),,,,,,,Nr of people exposed to different noise bands (Lnight),,,,,,,DF4_8 Date Released,Data Source,URL
Cyprus,EU27,Pafos,50461,44.57,1800,600,200,0,0,0,0,No data ,500,100,0,0,0,0,2024-03-09,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Brno,443880,328,No data ,1900,800,200,200,0,0,1400,500,300,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Liberec,164645,160,No data ,700,100,100,0,0,0,200,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Olomouc,109514,105,No data ,1000,100,100,0,0,0,900,300,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Ostrava,428269,248,No data ,200,0,0,0,0,0,700,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Plzen,191279,184,No data ,200,200,0,0,0,0,100,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Prague,1442378,772,No data ,200,0,0,0,0,0,200,0,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Czech Republic,EU27,Teplice,171348,171,No data ,2400,300,100,0,0,0,1000,200,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Denmark,EU27,Aalborg,138581,66,No data ,No data ,400,0,0,0,0,No data ,No data ,100,0,0,0,0,2024-03-07,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Denmark,EU27,Aarhus,251047,82,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Denmark,EU27,Copenhagen,1254256,384,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Denmark,EU27,Odense,196695,101,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Estonia,EU27,Tallinn,444970,159,13800,6800,2000,900,100,100,400,No data ,4900,1400,700,100,300,100,2023-11-12,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Estonia,EU27,Tartu,95389,154,0,0,0,0,0,0,0,No data ,0,0,0,0,0,0,2023-11-12,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873
Finland,EU27,Espoo,289761,528,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Helsinki,653835,217,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Jyvaskyla,142400,1467,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Kauniainen,9797,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Kuopio,119235,3241,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Lahti,119875,518,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Oulu,205489,3031,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Tampere,239269,525,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Finland,EU27,Turku,192962,306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
