Country,Region,Agglomeration,Population,Area_km2,Lden_45_49,Lden_50_54,Lden_55_59,Lden_60_64,Lden_65_69,Lden_70_74,Lden_over_75,Lnight_40_44,Lnight_45_49,Lnight_50_54,Lnight_55_59,Lnight_60_64,Lnight_65_69,Lnight_over_70,Date_Released,Data_Source,URL,Total_Lden,Total_Lnight,Lden_45_49_pct,Lden_50_54_pct,Lden_55_59_pct,Lden_60_64_pct,Lden_65_69_pct,Lden_70_74_pct,Lden_over_75_pct,Lnight_40_44_pct,Lnight_45_49_pct,Lnight_50_54_pct,Lnight_55_59_pct,Lnight_60_64_pct,Lnight_65_69_pct,Lnight_over_70_pct,Total_Lden_pct,Total_Lnight_pct,Lden_45_49_pct_pct,Lden_50_54_pct_pct,Lden_55_59_pct_pct,Lden_60_64_pct_pct,Lden_65_69_pct_pct,Lden_70_74_pct_pct,Lden_over_75_pct_pct,Lnight_40_44_pct_pct,Lnight_45_49_pct_pct,Lnight_50_54_pct_pct,Lnight_55_59_pct_pct,Lnight_60_64_pct_pct,Lnight_65_69_pct_pct,Lnight_over_70_pct_pct
Belgium,EU27,Liege,195278.0,68.65,0,1500,400,0,0,0,0,0,0,0,0,0,0,0,2024-05-24,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873,1900,0,0.0,0.77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Burgas,348668.0,253.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Pleven,102955.0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Plovdiv,364403.0,101.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Ruse,143325.0,12712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Sofia,1280034.0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Stara Zagora,136144.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EU27,Varna,210813.0,154.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,EU27,Rijeka,107964.0,43.38,0,400,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-15,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,400,0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,EU27,Split,160577.0,79.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-15,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,EU27,Zagreb,767131.0,641.24,0,200,100,0,0,0,0,0,0,200,0,0,0,0,2024-03-15,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,300,200,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EU27,Larnaca,99649.0,88.88,4800,1300,500,0,0,0,0,0,0,0,0,0,0,0,2024-03-09,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,6600,0,4.82,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EU27,Limassol,200431.0,70.76,14500,6100,1400,300,100,100,0,0,2800,400,200,100,0,0,2024-03-09,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,22500,3500,7.23,3.04,0.7,0.15,0.05,0.05,0.0,0.0,1.4,0.2,0.1,0.05,0.0,0.0,11.23,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EU27,Nicosia,254995.0,98.95,26700,17700,7100,1100,300,100,0,0,15200,4600,800,200,0,0,2024-03-09,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,53000,20800,10.47,6.94,2.78,0.43,0.12,0.04,0.0,0.0,5.96,1.8,0.31,0.08,0.0,0.0,20.78,8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EU27,Pafos,50461.0,44.57,1800,600,200,0,0,0,0,0,500,100,0,0,0,0,2024-03-09,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,2600,600,3.57,1.19,0.4,0.0,0.0,0.0,0.0,0.0,0.99,0.2,0.0,0.0,0.0,0.0,5.15,1.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Brno,443880.0,328,0,1900,800,200,200,0,0,1400,500,300,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,3100,2200,0.0,0.43,0.18,0.05,0.05,0.0,0.0,0.32,0.11,0.07,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Liberec,164645.0,160,0,700,100,100,0,0,0,200,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,900,300,0.0,0.43,0.06,0.06,0.0,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.55,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Olomouc,109514.0,105,0,1000,100,100,0,0,0,900,300,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,1200,1200,0.0,0.91,0.09,0.09,0.0,0.0,0.0,0.82,0.27,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Ostrava,428269.0,248,0,200,0,0,0,0,0,700,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,200,800,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Plzen,191279.0,184,0,200,200,0,0,0,0,100,100,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,400,200,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Prague,1442378.0,772,0,200,0,0,0,0,0,200,0,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,200,200,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EU27,Teplice,171348.0,171,0,2400,300,100,0,0,0,1000,200,0,0,0,0,0,2023-05-28,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,2800,1200,0.0,1.4,0.18,0.06,0.0,0.0,0.0,0.58,0.12,0.0,0.0,0.0,0.0,0.0,1.63,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,EU27,Aalborg,138581.0,66,0,0,400,0,0,0,0,0,0,100,0,0,0,0,2024-03-07,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,400,100,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
